tortured_phrase,expected_phrase,num_papers
"""bracket algorithm""",classification algorithm,220
"""highlight choice"" AND ""feature selection""",feature selection,220
"""drug delivery frameworks""",drug delivery systems,220
"""hereditary algorithm""",genetic algorithm,220
"""administered AI""",supervised artificial intelligence,220
"""organization traffic"" AND ""network traffic""",network traffic,219
"""routing convention"" AND ""routing protocol""",routing protocol,219
"""bunching model""",clustering model,218
"""carbon dioxide emanation""",carbon dioxide emission,218
"""dispersion system"" AND ""supply chain""",supply chain,217
"""ecological excellence""",environmental quality,217
"""Lyapunov work""",Lyapunov function,217
"""feeling acknowledgement""",emotion recognition,216
"""shrewd gadget""",smart device,215
"""mind association"" AND ""neural network""",neural network,215
"""in genuine time""",in real time,215
"""worldwide temperature alteration""",global warming,214
"""quality articulation"" AND ""gene expression""",gene expression,214
"""random wood""",random forest (RF),213
"""information expansion"" AND ""data augmentation""",data augmentation,213
"""speculation capacity""",predictive ability,212
"""feeling examination""",sentiment analysis,212
"""polymerase chain response""",polymerase chain reaction,211
"""arbitrary woodland""",random forest,211
"""bouncing box""",bounding box,210
"""gesture acknowledgement""",gesture recognition,209
"""Wiener channel""",Wiener filter,209
"""earlier likelihood""",a priori probability,209
"""remove highlights"" NOT specular",extract features,209
"""savvy contract""",smart contract,209
"""convolution activity""",convolution operation,209
"""extreme acid/base""",acute acid/base (disorder/disturbance/stress),208
"""molecule proportions""",molar ratio (percentages?),207
"""electric vitality""",electric energy,207
"""attractive nanocomposite""",Magnetic nanocomposite,207
"""managed learning"" AND ""supervised learning""",supervised learning,207
"""secret node""",hidden node,205
"""most extreme probability""",maximum likelihood,205
"""profound neural system""",deep neural network,205
"""laptop imaginative and prescient""",computer vision,204
"""monetary emergency""",financial crisis,204
"""sustenance security""",food safety,203
"""versatile clients""",mobile users,203
"""audio sign""",audio signal,203
"""supervised studying""",supervised [machine] learning,203
"""shrewd city""",smart city,203
"""arbitrary timberland""",random forest,203
"""physiological highlights""",physiological features,202
"""Alzheimer's sickness""",Alzheimer's disease,202
"""gullible Bayes""",naive Bayes,202
"""untamed life""",wildlife,201
"""cloud specialist organization""",cloud service provider,201
"""citizen turnout""",voter turnout,201
"""element extractor""",feature extractor,201
"""move learning"" AND ""transfer learning""",transfer learning,201
"""profound organizations""",deep [neural] networks,200
"""sigmoid capacity""",sigmoid function,200
"""surface unpleasantness""",surface roughness,200
"""bogus positive"" AND ""false positive""",false positive,200
"""explainability assessment""",explanation computation?,199
"""back engendering"" AND neural",back propagation,199
"""automated tomography""",Computed Tomography (CT),198
"""flag handling""",signal processing,198
"""social effect UTAUT""~10","social influence, see https://en.wikipedia.org/wiki/Unified_theory_of_acceptance_and_use_of_technology",198
"""Gaussian blend""","Gaussian mixture (as in \""Gaussian mixture model (GMM)\"")",197
"""named data sets""",labeled datasets,197
"""remaining vitality""",residual energy,196
"""crowd crushes""",???,196
"""supervised mastering""",supervised learning,195
"""sexual direction""",sexual orientation,195
"""keen city""",smart city,195
"""adversely charged""",negatively charged,195
"""credulous Bayes""",naive Bayes,195
"""component guide"" AND ""CNN""",feature map,195
"""pc imaginative and prescient""",computer vision,195
"""figuring asset""",computing resources (see NIST https://bit.ly/NIST-CloudComputing),195
"""consequences be damned""",You Only Look Once (YOLO),194
"""supervised gaining knowledge""",supervised (machine) learning,194
"""sunlight-based cell""",solar cell,194
"""educated assent""",informed consent,194
"""wellness esteem""",fitness value,193
"""dielectric steady""",dielectric constant,193
"""expectation exactness""",prediction accuracy,193
"""exactness, accuracy, review""","precision, accuracy, recall",192
"""restorative picture""",medical image,192
"""time skylines""",time horizons,192
"""stochastic angle""",stochastic gradient,192
"""computer imaginative and prescient""",computer vision,191
"""keen framework""",smart framework,191
"""arbitrary woods""",random forest,191
"""x-beam diffraction""",X-ray diffraction,191
"""element choice"" AND ""feature selection""",feature selection,191
"""fuzzy guideline""",fuzzy rule,190
"""innocent Bayes""",naive Bayes,190
"""histogram balance""",histogram equalization (HE),190
"""disappointment rate""",failure rate,190
"""generative antagonistic networks""",generative adversarial networks,189
"""utilitarian gatherings""",functional groups,189
"""manufactured insights""",artificial intelligence,189
"""humanoid action""",human actions,188
"""enactment capability""",activation function,188
"""standard blunder""",standard error,188
"""sunlight-based energy""",solar energy,188
"""disappearing gradient issue""",vanishing gradient problem,188
"""sun-oriented cell""",solar cell,188
"""Rheumatoid joint pain""",Rheumatoid Arthritis (RA),188
"""CO2 effluent"" AND ""CO2 emission""",CO2 emission,188
"""forecast exactness""",prediction accuracy,187
"""irregular walks""",random walks,187
"""extricated highlights"" NOT specular",extracted features,187
"""electronic wellbeing record""",electronic health records,187
"""upper appendage""",upper limb,186
"""musical highlight""",musical feature,186
"""reactant movement""",catalytic activity,186
"""speaking neural network""",Spiking Neural Network,186
"""charcoal electrode"" AND ""carbon electrode""",carbon electrode,185
"""CO2 secretion""",CO2 emission,185
"""cloud stage"" AND ""cloud platform""",the cloud platform,184
"""fake neural organizations""",Artificial Neural Network (ANN),184
"""cloud organization"" AND ""cloud network""",cloud network,184
"""192 pieces""",192 bits,184
"""vitality sparing""",energy saving,183
"""Nusselt quantity""",Nusselt number,183
"""brilliant agreement"" AND ""smart contract""",smart contract,183
"""invulnerable framework""",immune system,183
"""reinforcement studying""",reinforcement learning,183
"""wellspring of vitality""",source of energy,181
"""stochastic segregation""",stochastic separation,181
"""guide vector"" AND ""support vector""",support vector,181
"""convolution neural system""",convolutional neural network (CNN),181
"""straight non-direct""~5",linear and non-linear,181
"""blind temperature""",Curie temperature,181
"""computerized mark""",digital signature,181
"""counterfeit insight""",Machine Learning (ML),181
"""lymph hub""",lymph node,181
"""k-implies grouping""",k-means clustering,181
"""elliptic bends""",elliptic curves,180
"""assist vector machine""",support vector machine (SVM),180
"""arrangement execution""",classification performance,180
"""fake insight""",Artificial Intelligence,180
"""sun powered cell""",solar powered cell,180
"""k-implies bunching""",k-means clustering,180
"""cloud climate"" AND ""cloud computing""",cloud environment,179
"""square blunder""",(mean) squared error,179
"""in this think about""",in this study,179
"""area of intrigue""",region of interest,177
"""proximity of the disease""",presence of the disease,177
"""warmth source""",heat source,176
"""viewpoint proportion""",aspect ratio,176
"""wormhole assault""",wormhole attack,176
"""exactness, review""","precision, recall",175
"""acknowledgment execution""",recognition performance,175
"""examination drive""",research initiative,175
"""biometric acknowledgment""",biometric recognition,175
"""Alzheimer's infection""",Alzheimer's disease,175
"""open key cryptography""",public key cryptography (PKC),174
"""great tuning""",fine tuning,174
"""irregular backwoods""",random forest,173
"""carbon secretion""",carbon emission,173
"""bosom malignancy""",breast cancer,173
"""principal component assessment""",Principal Component Analysis (PCA),173
"""information respectability""",Data integrity,172
"""objective receptor""",target receptor,172
"""grouping exactness""",classification accuracy,172
"""Gaps in this Area of Study""",Research gaps,172
"""innate heart""",congenital heart (defects...),172
"""receptive oxygen species""",reactive oxygen species,172
"""CRISPR related proteins""",CRISPR associated proteins,171
"""CRISPR-related protein""",CRISPR-associated protein,171
"""message verification codes""",message authentication codes (MACs),171
"""call tree"" AND ""decision tree""",decision tree,171
"""counterfeit neural organization""",artificial neural network (ANN),170
"""misfortune capability""",loss function,170
"""effective gadget""",effective mechanism,169
"""sun oriented energy""",solar energy,169
"""fully associated layer""",fully connected layer (in a neural network),169
"""fluffy set""",fuzzy set,169
"""down to earth issue""",practical problem,169
"""casing picture""~3",picture frames,168
"""brilliant machine""",smart device,168
"""character acknowledgment"" AND ""character recognition""",(optical) character recognition (OCR),168
"""steering plan""",???,167
"""master framework"" AND ""expert system""",expert system,167
"""hit fee""",hit rate (metric),167
"""insusceptible cell""",immune cell,167
"""triumphantly synthesised""",successfully synthesised,167
"""crippled individuals""",disabled persons,166
"""IoT (Web of Things)""",IoT (Internet of Things),166
"""quick Fourier transform""",Fast Fourier Transform,166
"""bogus message"" AND ""fake message""",fake message,166
